gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,Churn
1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,2,78.81007463899482,2445.3921230647416,2,1
1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,0,20.05,505.9,2,0
0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.73586548052454,69.73586548052454,0,1
0,0,1,1,1,2,1,0,0,0,0,0,2,0,1,2,85.45,1451.6,1,1
0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,2,89.16194230397214,367.554598678382,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,20.25,109.8,0,0
0,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,94.2,1046.1,0,1
0,0,1,0,1,2,1,0,2,2,0,0,0,0,1,0,85.4,5869.4,5,0
0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,3,53.90305411372642,114.16211823578419,0,1
1,0,0,0,0,1,0,0,0,2,0,2,0,0,1,2,39.65,733.35,1,1
0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,19.9,533.5,1,0
1,0,1,0,1,2,2,1,1,1,1,1,1,2,0,0,25.25,1728.2,5,0
1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,80.5530386006794,80.5530386006794,0,1
1,0,0,0,1,2,2,1,1,1,1,1,1,0,1,1,24.85,493.4,1,0
1,0,1,1,1,2,1,2,2,0,2,2,2,0,1,1,110.1,4469.1,3,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,45.6471106564176,45.6471106564176,0,1
0,0,1,1,1,0,0,0,0,2,0,0,0,1,1,0,50.95,2610.65,4,0
1,0,1,0,1,2,1,0,0,1,0,2,2,0,1,2,99.80702494533617,3479.7875979654596,2,1
0,1,0,0,1,2,1,0,2,0,0,0,2,0,0,2,89.85,1424.95,1,1
0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,3,85.8,85.8,0,1
0,0,1,0,1,0,1,0,0,1,0,1,2,0,1,2,93.63647243705458,776.5516596341531,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,20.15,130.5,0,0
1,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,75.5,438.0,0,1
1,0,0,0,1,2,1,0,0,0,0,1,2,0,1,1,94.4670670683522,2655.6127128605026,2,1
1,0,1,0,1,2,0,2,0,2,2,2,2,2,0,1,86.65,6094.25,5,0
1,0,0,0,1,0,1,0,2,0,0,0,2,0,1,2,84.4,556.35,0,1
0,0,0,0,1,2,1,2,1,0,0,2,0,1,1,2,99.09503625297195,4835.459761595977,3,1
0,0,1,0,1,0,0,2,2,0,2,2,2,2,1,0,79.6,5515.8,5,0
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70.0,0,1
0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,74.35583534844511,229.32181596696637,0,1
0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,19.7,260.9,0,0
0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,3,20.85,72.0,0,0
1,0,1,1,1,2,0,2,2,2,2,2,2,2,0,1,90.3,6287.3,5,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,70.1,70.1,0,1
0,0,1,0,1,2,1,0,1,0,0,2,2,0,1,1,101.08811907797917,1365.1211287599147,1,1
1,1,1,0,1,2,1,2,2,0,0,0,2,0,1,1,94.7,673.1,0,1
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,2,19.35,1263.85,5,0
1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,2,20.85,473.9,1,0
0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,2,85.2,474.8,0,1
0,0,1,0,1,2,1,0,0,0,0,0,1,0,1,1,85.22377509529318,1376.128243011478,1,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,44.55,480.6,0,1
1,0,1,0,1,0,2,1,1,1,1,1,1,1,0,0,20.85,720.05,2,0
0,0,0,0,1,2,1,2,0,2,0,0,0,0,1,1,84.75,2613.4,2,0
1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,2,80.53453500125727,319.6316353478929,0,1
1,0,0,0,0,1,0,0,0,0,0,2,2,0,1,2,45.4,418.8,0,1
0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,19.75,210.65,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,69.29496523599296,69.29496523599296,0,1
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,34.4292777208351,445.12496853862143,1,1
1,0,1,1,1,0,2,1,1,1,1,1,1,2,1,0,20.95,1270.55,4,0
1,0,0,0,1,2,0,2,0,0,2,0,2,1,1,0,70.95,3629.2,3,0
1,0,1,0,0,1,0,1,1,2,0,2,2,0,0,1,59.165547337679556,3013.6210833104533,4,1
0,0,0,0,1,2,1,0,2,1,1,2,2,0,0,2,108.40048707368952,6013.7656768162105,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.87530491006875,299.93579932174475,1,1
0,0,1,1,1,2,0,2,2,0,2,0,0,1,0,3,65.5,3801.3,4,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,44.97543062915749,96.63792671101325,0,1
0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,3,19.75,806.95,3,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,70.26629162478869,70.26629162478869,0,1
1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,19.55,1240.15,5,0
1,0,0,1,1,0,2,1,1,1,1,1,1,2,0,0,19.55,819.95,3,0
0,0,0,0,1,2,1,0,0,2,1,2,2,0,1,2,104.24979391161511,3054.364225335594,2,1
0,0,1,0,1,2,1,2,2,2,2,0,2,2,1,1,106.05,3834.4,2,0
